drug_name,form,active_ingredient,strength,status
SURMONTIL,"[""CAPSULE"", ""ORAL""]",TRIMIPRAMINE MALEATE,"[""EQ 50MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SURMONTIL,"[""CAPSULE"", ""ORAL""]",TRIMIPRAMINE MALEATE,"[""EQ 100MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CYTARABINE,"[""INJECTABLE"", ""INJECTION""]",CYTARABINE,"[""100MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CYTARABINE,"[""INJECTABLE"", ""INJECTION""]",CYTARABINE,"[""500MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CYTARABINE,"[""INJECTABLE"", ""INJECTION""]",CYTARABINE,"[""1GM/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CYTARABINE,"[""INJECTABLE"", ""INJECTION""]",CYTARABINE,"[""2GM/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
INAPSINE,"[""INJECTABLE"", ""INJECTION""]",DROPERIDOL,"[""2.5MG/ML""]",Prescription
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 25MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 50MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 10MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 100MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 75MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
SINEQUAN,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 150MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
XYLOCAINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
XYLOCAINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""4% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
XYLOCAINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
XYLOCAINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""20% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
XYLOCAINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",LIDOCAINE HYDROCHLORIDE,"[""1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
BRONKAID MIST,"[""AEROSOL, METERED"", ""INHALATION""]",EPINEPHRINE,"[""0.25MG/INH""]",Discontinued
OVRAL-28,"[""TABLET"", ""ORAL-28""]",ETHINYL ESTRADIOL; NORGESTREL,"[""0.05MG"", ""0.5MG""]",Discontinued
THYROLAR-0.25,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.0125MG"", ""0.0031MG""]",Discontinued
THYROLAR-2,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.1MG"", ""0.025MG""]",Discontinued
THYROLAR-3,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.15MG"", ""0.0375MG""]",Discontinued
THYROLAR-1,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.05MG"", ""0.0125MG""]",Discontinued
THYROLAR-0.5,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.025MG"", ""0.0063MG""]",Discontinued
THYROLAR-5,"[""TABLET"", ""ORAL""]",LIOTRIX (T4;T3),"[""0.25MG"", ""0.0625MG""]",Discontinued
TRICLOS,"[""TABLET"", ""ORAL""]",TRICLOFOS SODIUM,"[""750MG""]",Discontinued
KETALAR,"[""INJECTABLE"", ""INJECTION""]",KETAMINE HYDROCHLORIDE,"[""EQ 10MG BASE/ML""]",Prescription
KETALAR,"[""INJECTABLE"", ""INJECTION""]",KETAMINE HYDROCHLORIDE,"[""EQ 50MG BASE/ML""]",Prescription
KETALAR,"[""INJECTABLE"", ""INJECTION""]",KETAMINE HYDROCHLORIDE,"[""EQ 100MG BASE/ML""]",Prescription
VAPO-ISO,"[""SOLUTION"", ""INHALATION""]",ISOPROTERENOL HYDROCHLORIDE,"[""0.5%""]",Discontinued
NORISODRINE AEROTROL,"[""DISC"", ""INHALATION""]",ISOPROTERENOL HYDROCHLORIDE,"[""0.25%""]",Discontinued
EMETE-CON,"[""SUPPOSITORY"", ""RECTAL""]",BENZQUINAMIDE HYDROCHLORIDE,"[""EQ 100MG BASE""]",Discontinued
EMETE-CON,"[""INJECTABLE"", ""INJECTION""]",BENZQUINAMIDE HYDROCHLORIDE,"[""EQ 50MG BASE/VIAL""]",Discontinued
FREAMINE 8.5%,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS,"[""8.5% (8.5GM/100ML)""]",Discontinued
FREAMINE II 8.5%,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS,"[""8.5% (8.5GM/100ML)""]",Discontinued
FREAMINE III 3% W/ ELECTROLYTES,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,"[""3%"", ""54MG/100ML"", ""40MG/100ML"", ""150MG/100ML"", ""200MG/100ML"", ""120MG/100ML""]",Prescription
FREAMINE III 8.5%,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS,"[""8.5% (8.5GM/100ML)""]",Prescription
FREAMINE III 10%,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS,"[""10% (10GM/100ML)""]",Prescription
FREAMINE HBC 6.9%,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS,"[""6.9% (6.9GM/100ML)""]",Prescription
FREAMINE III 8.5% W/ ELECTROLYTES,"[""INJECTABLE"", ""INJECTION""]",AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,"[""8.5%"", ""110MG/100ML"", ""230MG/100ML"", ""10MG/100ML"", ""440MG/100ML"", ""690MG/100ML""]",Prescription
DARVON-N W/ ASA,"[""CAPSULE"", ""ORAL""]",ASPIRIN; PROPOXYPHENE NAPSYLATE,"[""325MG"", ""100MG""]",Discontinued
TRICLOS,"[""SOLUTION"", ""ORAL""]",TRICLOFOS SODIUM,"[""1.5GM/15ML""]",Discontinued
EFUDEX,"[""SOLUTION"", ""TOPICAL""]",FLUOROURACIL,"[""2%""]",Prescription
EFUDEX,"[""SOLUTION"", ""TOPICAL""]",FLUOROURACIL,"[""5% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
EFUDEX,"[""CREAM"", ""TOPICAL""]",FLUOROURACIL,"[""5%""]",Prescription
CYLERT,"[""TABLET"", ""ORAL""]",PEMOLINE,"[""18.75MG""]",Discontinued
CYLERT,"[""TABLET"", ""ORAL""]",PEMOLINE,"[""37.5MG""]",Discontinued
CYLERT,"[""TABLET"", ""ORAL""]",PEMOLINE,"[""75MG""]",Discontinued
LITHIUM CARBONATE,"[""TABLET"", ""ORAL""]",LITHIUM CARBONATE,"[""300MG""]",Discontinued
DARVOCET,"[""TABLET"", ""ORAL""]",ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE,"[""325MG"", ""32.5MG""]",Discontinued
ISOPAQUE 440,"[""INJECTABLE"", ""INJECTION""]",CALCIUM METRIZOATE; MEGLUMINE METRIZOATE; METRIZOATE MAGNESIUM; METRIZOATE SODIUM,"[""0.78MG/ML"", ""75.9MG/ML"", ""0.15MG/ML"", ""16.6MG/ML""]",Discontinued
ANADROL-50,"[""TABLET"", ""ORAL""]",OXYMETHOLONE,"[""50MG""]",Discontinued
FML,"[""SUSPENSION/DROPS"", ""OPHTHALMIC""]",FLUOROMETHOLONE,"[""0.1%""]",Prescription
NORLESTRIN 21 2.5/50,"[""TABLET"", ""ORAL-21""]",ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,"[""0.05MG"", ""2.5MG""]",Discontinued
NORLESTRIN FE 2.5/50,"[""TABLET"", ""ORAL-28""]",ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE,"[""0.05MG"", ""75MG"", ""2.5MG""]",Discontinued
ESKALITH,"[""CAPSULE"", ""ORAL""]",LITHIUM CARBONATE,"[""300MG""]",Discontinued
DARVON-N,"[""SUSPENSION"", ""ORAL""]",PROPOXYPHENE NAPSYLATE,"[""50MG/5ML""]",Discontinued
DARVON-N,"[""TABLET"", ""ORAL""]",PROPOXYPHENE NAPSYLATE,"[""100MG""]",Discontinued
DARVON-N W/ ASA,"[""TABLET"", ""ORAL""]",ASPIRIN; PROPOXYPHENE NAPSYLATE,"[""325MG"", ""100MG""]",Discontinued
LYSODREN,"[""TABLET"", ""ORAL""]",MITOTANE,"[""500MG""]",Prescription
TALWIN COMPOUND,"[""TABLET"", ""ORAL""]",ASPIRIN; PENTAZOCINE HYDROCHLORIDE,"[""325MG"", ""EQ 12.5MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
NAVANE,"[""INJECTABLE"", ""INJECTION""]",THIOTHIXENE HYDROCHLORIDE,"[""EQ 2MG BASE/ML""]",Discontinued
NAVANE,"[""INJECTABLE"", ""INJECTION""]",THIOTHIXENE HYDROCHLORIDE,"[""EQ 10MG BASE/VIAL""]",Discontinued
LIDEX,"[""CREAM"", ""TOPICAL""]",FLUOCINONIDE,"[""0.05%""]",Discontinued
LIDEX-E,"[""CREAM"", ""TOPICAL""]",FLUOCINONIDE,"[""0.05%""]",Prescription
LIDEX,"[""OINTMENT"", ""TOPICAL""]",FLUOCINONIDE,"[""0.05%""]",Prescription
DELALUTIN,"[""SOLUTION"", ""INTRAMUSCULAR""]",HYDROXYPROGESTERONE CAPROATE,"[""125MG/ML (125MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DELALUTIN,"[""SOLUTION"", ""INTRAMUSCULAR""]",HYDROXYPROGESTERONE CAPROATE,"[""250MG/ML (250MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
LARODOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""250MG""]",Discontinued
LARODOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""100MG""]",Discontinued
LARODOPA,"[""TABLET"", ""ORAL""]",LEVODOPA,"[""250MG""]",Discontinued
LARODOPA,"[""TABLET"", ""ORAL""]",LEVODOPA,"[""500MG""]",Discontinued
LARODOPA,"[""TABLET"", ""ORAL""]",LEVODOPA,"[""100MG""]",Discontinued
LARODOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""500MG""]",Discontinued
DOPAR,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""250MG""]",Discontinued
DOPAR,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""500MG""]",Discontinued
DOPAR,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""100MG""]",Discontinued
DOPAR,"[""TABLET"", ""ORAL""]",LEVODOPA,"[""250MG""]",Discontinued
DOPAR,"[""TABLET"", ""ORAL""]",LEVODOPA,"[""500MG""]",Discontinued
RETIN-A,"[""SOLUTION"", ""TOPICAL""]",TRETINOIN,"[""0.05%""]",Discontinued
RETIN-A,"[""SWAB"", ""TOPICAL""]",TRETINOIN,"[""0.05%""]",Discontinued
TESULOID,"[""SOLUTION"", ""INJECTION, ORAL""]",TECHNETIUM TC-99M SULFUR COLLOID KIT,"[""N/A""]",Discontinued
DEMULEN 1/50-21,"[""TABLET"", ""ORAL-21""]",ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE,"[""0.05MG"", ""1MG""]",Discontinued
MEPROBAMATE,"[""TABLET"", ""ORAL""]",MEPROBAMATE,"[""400MG""]",Discontinued
FUDR,"[""INJECTABLE"", ""INJECTION""]",FLOXURIDINE,"[""500MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
R-GENE 10,"[""INJECTABLE"", ""INJECTION""]",ARGININE HYDROCHLORIDE,"[""10GM/100ML""]",Prescription
VALISONE,"[""LOTION"", ""TOPICAL""]",BETAMETHASONE VALERATE,"[""EQ 0.1% BASE""]",Discontinued
DEMULEN 1/50-28,"[""TABLET"", ""ORAL-28""]",ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE,"[""0.05MG"", ""1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HALOTEX,"[""CREAM"", ""TOPICAL""]",HALOPROGIN,"[""1%""]",Discontinued
HALOTEX,"[""SOLUTION"", ""TOPICAL""]",HALOPROGIN,"[""1%""]",Discontinued
BENDOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""250MG""]",Discontinued
BENDOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""500MG""]",Discontinued
BENDOPA,"[""CAPSULE"", ""ORAL""]",LEVODOPA,"[""100MG""]",Discontinued
LIMBITROL,"[""TABLET"", ""ORAL""]",AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,"[""EQ 12.5MG BASE"", ""5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
LIMBITROL DS,"[""TABLET"", ""ORAL""]",AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,"[""EQ 25MG BASE"", ""10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
MICRONOR,"[""TABLET"", ""ORAL-28""]",NORETHINDRONE,"[""0.35MG""]",Discontinued
MARCAINE HYDROCHLORIDE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE,"[""0.25%""]",Prescription
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,"[""0.25%"", ""0.0091MG/ML""]",Prescription
MARCAINE HYDROCHLORIDE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE,"[""0.5%""]",Prescription
MARCAINE HYDROCHLORIDE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE,"[""0.5%""]",Prescription
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,"[""0.5%"", ""0.0091MG/ML""]",Prescription
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,"[""0.5%"", ""0.0091MG/ML""]",Prescription
MARCAINE HYDROCHLORIDE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE,"[""0.75%""]",Prescription
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,"[""0.75%"", ""0.0091MG/ML""]",Prescription
MARCAINE HYDROCHLORIDE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE,"[""0.25%""]",Prescription
MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE,"[""0.25%"", ""0.0091MG/ML""]",Prescription
MIOSTAT,"[""SOLUTION"", ""INTRAOCULAR""]",CARBACHOL,"[""0.01%""]",Prescription
MEGACE,"[""TABLET"", ""ORAL""]",MEGESTROL ACETATE,"[""20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
MEGACE,"[""TABLET"", ""ORAL""]",MEGESTROL ACETATE,"[""40MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
LITHOTABS,"[""TABLET"", ""ORAL""]",LITHIUM CARBONATE,"[""300MG""]",Discontinued
CONRAY 30,"[""INJECTABLE"", ""INJECTION""]",IOTHALAMATE MEGLUMINE,"[""30%""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 10MG BASE""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 25MG BASE""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 50MG BASE""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 100MG BASE""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 75MG BASE""]",Discontinued
DOXEPIN HYDROCHLORIDE,"[""CAPSULE"", ""ORAL""]",DOXEPIN HYDROCHLORIDE,"[""EQ 150MG BASE""]",Discontinued
FLUOROPLEX,"[""CREAM"", ""TOPICAL""]",FLUOROURACIL,"[""1%""]",Discontinued
INTAL,"[""CAPSULE"", ""INHALATION""]",CROMOLYN SODIUM,"[""20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HYPERSTAT,"[""INJECTABLE"", ""INJECTION""]",DIAZOXIDE,"[""15MG/ML""]",Discontinued
SERENTIL,"[""CONCENTRATE"", ""ORAL""]",MESORIDAZINE BESYLATE,"[""EQ 25MG BASE/ML""]",Discontinued
UTICORT,"[""CREAM"", ""TOPICAL""]",BETAMETHASONE BENZOATE,"[""0.025%""]",Discontinued
ANCOBON,"[""CAPSULE"", ""ORAL""]",FLUCYTOSINE,"[""250MG""]",Prescription
ANCOBON,"[""CAPSULE"", ""ORAL""]",FLUCYTOSINE,"[""500MG""]",Prescription
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""7,500 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""15,000 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""2,500 UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
HEPARIN LOCK FLUSH,"[""INJECTABLE"", "" INJECTION""]",HEPARIN SODIUM,"[""10 UNITS/ML""]",Discontinued
HEPARIN LOCK FLUSH,"[""INJECTABLE"", "" INJECTION""]",HEPARIN SODIUM,"[""100 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/0.5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DESONIDE,"[""CREAM"", ""TOPICAL""]",DESONIDE,"[""0.05%""]",Prescription
PRED FORTE,"[""SUSPENSION/DROPS"", ""OPHTHALMIC""]",PREDNISOLONE ACETATE,"[""1%""]",Prescription
SODIUM CHLORIDE,"[""INJECTABLE"", ""INJECTION""]",SODIUM CHLORIDE,"[""20GM/100ML""]",Discontinued
PAVULON,"[""INJECTABLE"", ""INJECTION""]",PANCURONIUM BROMIDE,"[""2MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
PAVULON,"[""INJECTABLE"", ""INJECTION""]",PANCURONIUM BROMIDE,"[""1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""20,000 UNITS/VIAL""]",Discontinued
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""5,000 UNITS/VIAL""]",Prescription
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""10,000 UNITS/VIAL""]",Prescription
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""2,000 UNITS/VIAL""]",Discontinued
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""15,000 UNITS/VIAL""]",Discontinued
CHORIONIC GONADOTROPIN,"[""INJECTABLE"", ""INJECTION""]","GONADOTROPIN, CHORIONIC","[""2,000 UNITS/VIAL""]",Discontinued
PANWARFIN,"[""TABLET"", ""ORAL""]",WARFARIN SODIUM,"[""2MG""]",Discontinued
PANWARFIN,"[""TABLET"", ""ORAL""]",WARFARIN SODIUM,"[""2.5MG""]",Discontinued
PANWARFIN,"[""TABLET"", ""ORAL""]",WARFARIN SODIUM,"[""5MG""]",Discontinued
PANWARFIN,"[""TABLET"", ""ORAL""]",WARFARIN SODIUM,"[""7.5MG""]",Discontinued
PANWARFIN,"[""TABLET"", ""ORAL""]",WARFARIN SODIUM,"[""10MG""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/0.5ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/0.5ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/0.5ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/0.5ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""40,000 UNITS/ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""7,500 UNITS/0.5ML""]",Discontinued
LIPO-HEPIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""15,000 UNITS/0.5ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Prescription
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Prescription
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Prescription
HEPARIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Prescription
HEPARIN SODIUM IN PLASTIC CONTAINER,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Prescription
HEPARIN SODIUM IN PLASTIC CONTAINER,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Prescription
HEPARIN SODIUM IN PLASTIC CONTAINER,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Prescription
HEPARIN SODIUM IN PLASTIC CONTAINER,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Prescription
HEPARIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Prescription
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Prescription
OPILL,"[""TABLET"", ""ORAL""]",NORGESTREL,"[""0.075MG""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
SODIUM HEPARIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
SODIUM HEPARIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
SODIUM HEPARIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Discontinued
SODIUM HEPARIN,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Prescription
